subregion,covid_region
adair,a
adams,d
allamakee,f
appanoose,a
audubon,d
benton,f
black hawk,f
boone,a
bremer,f
buchanan,f
buena vista,c
butler,b
calhoun,c
carroll,a
cass,d
cedar,e
cerro gordo,b
cherokee,c
chickasaw,b
clarke,a
clay,c
clayton,f
clinton,e
crawford,d
dallas,a
davis,a
decatur,a
delaware,f
des moines,e
dickinson,c
dubuque,f
emmet,c
fayette,f
floyd,b
franklin,b
fremont,d
greene,a
grundy,f
guthrie,a
hamilton,c
hancock,b
hardin,b
harrison,d
henry,e
howard,f
humboldt,c
ida,c
iowa,e
jackson,e
jasper,a
jefferson,e
johnson,e
jones,f
keokuk,e
kossuth,b
lee,e
linn,f
louisa,e
lucas,a
lyon,c
madison,a
mahaska,a
marion,a
marshall,a
mills,d
mitchell,b
monona,c
monroe,a
montgomery,d
muscatine,e
obrien,c
osceola,c
page,d
palo alto,c
plymouth,c
pocahontas,c
polk,a
pottawattamie,d
poweshiek,a
ringgold,a
sac,c
scott,e
shelby,d
sioux,c
story,a
tama,a
taylor,d
union,a
van buren,e
wapello,e
warren,a
washington,e
wayne,a
webster,c
winnebago,b
winneshiek,f
woodbury,c
worth,b
wright,b
